==================Begin of breast========================================================================
====================lambda:0.00001=============================================================
====================perceptron: breast lambda:0.00001================================
Precision:1.000000 Recall:0.992701 F1-measure:0.996337 Errorr=0.005714
Precision:1.000000 Recall:0.992701 F1-measure:0.996337 Errorr=0.005714
Precision:1.000000 Recall:0.992701 F1-measure:0.996337 Errorr=0.005714
Precision:1.000000 Recall:0.992701 F1-measure:0.996337 Errorr=0.005714
Precision:1.000000 Recall:0.992701 F1-measure:0.996337 Errorr=0.005714
Precision:1.000000 Recall:0.992701 F1-measure:0.996337 Errorr=0.005714
Precision:1.000000 Recall:0.992701 F1-measure:0.996337 Errorr=0.005714
Precision:1.000000 Recall:0.992701 F1-measure:0.996337 Errorr=0.005714
Precision:1.000000 Recall:0.992701 F1-measure:0.996337 Errorr=0.005714
Precision:1.000000 Recall:0.992701 F1-measure:0.996337 Errorr=0.005714
Precision:1.000000 Recall:0.992701 F1-measure:0.996337 Errorr=0.005714
Precision:1.000000 Recall:0.992701 F1-measure:0.996337 Errorr=0.005714
Precision:1.000000 Recall:0.992701 F1-measure:0.996337 Errorr=0.005714
Precision:1.000000 Recall:0.992701 F1-measure:0.996337 Errorr=0.005714
Precision:1.000000 Recall:0.992701 F1-measure:0.996337 Errorr=0.005714
Precision:1.000000 Recall:0.992701 F1-measure:0.996337 Errorr=0.005714
Precision:1.000000 Recall:0.992701 F1-measure:0.996337 Errorr=0.005714
Precision:1.000000 Recall:0.992701 F1-measure:0.996337 Errorr=0.005714
Precision:1.000000 Recall:0.992701 F1-measure:0.996337 Errorr=0.005714
Precision:1.000000 Recall:0.992701 F1-measure:0.996337 Errorr=0.005714
====================================================

=======================adaline: breast=============================
Precision:1.000000 Recall:0.963504 F1-measure:0.981413 Errorr=0.028571
Precision:1.000000 Recall:0.963504 F1-measure:0.981413 Errorr=0.028571
Precision:1.000000 Recall:0.963504 F1-measure:0.981413 Errorr=0.028571
Precision:1.000000 Recall:0.963504 F1-measure:0.981413 Errorr=0.028571
Precision:1.000000 Recall:0.963504 F1-measure:0.981413 Errorr=0.028571
Precision:1.000000 Recall:0.963504 F1-measure:0.981413 Errorr=0.028571
Precision:1.000000 Recall:0.963504 F1-measure:0.981413 Errorr=0.028571
Precision:1.000000 Recall:0.963504 F1-measure:0.981413 Errorr=0.028571
Precision:1.000000 Recall:0.963504 F1-measure:0.981413 Errorr=0.028571
Precision:1.000000 Recall:0.963504 F1-measure:0.981413 Errorr=0.028571
Precision:1.000000 Recall:0.963504 F1-measure:0.981413 Errorr=0.028571
Precision:1.000000 Recall:0.963504 F1-measure:0.981413 Errorr=0.028571
Precision:1.000000 Recall:0.963504 F1-measure:0.981413 Errorr=0.028571
Precision:1.000000 Recall:0.963504 F1-measure:0.981413 Errorr=0.028571
Precision:1.000000 Recall:0.963504 F1-measure:0.981413 Errorr=0.028571
Precision:1.000000 Recall:0.963504 F1-measure:0.981413 Errorr=0.028571
Precision:1.000000 Recall:0.963504 F1-measure:0.981413 Errorr=0.028571
Precision:1.000000 Recall:0.963504 F1-measure:0.981413 Errorr=0.028571
Precision:1.000000 Recall:0.963504 F1-measure:0.981413 Errorr=0.028571
Precision:1.000000 Recall:0.963504 F1-measure:0.981413 Errorr=0.028571
====================lambda:0.0001================================
====================perceptron: breast lambda:0.00001================================
Precision:1.000000 Recall:1.000000 F1-measure:1.000000 Errorr=0.000000
Precision:1.000000 Recall:1.000000 F1-measure:1.000000 Errorr=0.000000
Precision:1.000000 Recall:1.000000 F1-measure:1.000000 Errorr=0.000000
Precision:1.000000 Recall:1.000000 F1-measure:1.000000 Errorr=0.000000
Precision:1.000000 Recall:1.000000 F1-measure:1.000000 Errorr=0.000000
Precision:1.000000 Recall:1.000000 F1-measure:1.000000 Errorr=0.000000
Precision:1.000000 Recall:1.000000 F1-measure:1.000000 Errorr=0.000000
Precision:1.000000 Recall:1.000000 F1-measure:1.000000 Errorr=0.000000
Precision:1.000000 Recall:1.000000 F1-measure:1.000000 Errorr=0.000000
Precision:1.000000 Recall:1.000000 F1-measure:1.000000 Errorr=0.000000
Precision:1.000000 Recall:1.000000 F1-measure:1.000000 Errorr=0.000000
Precision:1.000000 Recall:0.970803 F1-measure:0.985185 Errorr=0.022857
Precision:1.000000 Recall:0.970803 F1-measure:0.985185 Errorr=0.022857
Precision:1.000000 Recall:0.970803 F1-measure:0.985185 Errorr=0.022857
Precision:1.000000 Recall:0.970803 F1-measure:0.985185 Errorr=0.022857
Precision:1.000000 Recall:0.970803 F1-measure:0.985185 Errorr=0.022857
Precision:1.000000 Recall:0.970803 F1-measure:0.985185 Errorr=0.022857
Precision:1.000000 Recall:0.970803 F1-measure:0.985185 Errorr=0.022857
Precision:1.000000 Recall:0.970803 F1-measure:0.985185 Errorr=0.022857
Precision:1.000000 Recall:0.970803 F1-measure:0.985185 Errorr=0.022857
====================================================

=======================adaline: breast=============================
Precision:1.000000 Recall:0.978102 F1-measure:0.988930 Errorr=0.017143
Precision:1.000000 Recall:0.978102 F1-measure:0.988930 Errorr=0.017143
Precision:1.000000 Recall:0.978102 F1-measure:0.988930 Errorr=0.017143
Precision:1.000000 Recall:0.978102 F1-measure:0.988930 Errorr=0.017143
Precision:1.000000 Recall:0.978102 F1-measure:0.988930 Errorr=0.017143
Precision:1.000000 Recall:0.978102 F1-measure:0.988930 Errorr=0.017143
Precision:1.000000 Recall:0.978102 F1-measure:0.988930 Errorr=0.017143
Precision:1.000000 Recall:0.978102 F1-measure:0.988930 Errorr=0.017143
Precision:1.000000 Recall:0.978102 F1-measure:0.988930 Errorr=0.017143
Precision:1.000000 Recall:0.978102 F1-measure:0.988930 Errorr=0.017143
Precision:1.000000 Recall:0.978102 F1-measure:0.988930 Errorr=0.017143
Precision:1.000000 Recall:0.978102 F1-measure:0.988930 Errorr=0.017143
Precision:1.000000 Recall:0.978102 F1-measure:0.988930 Errorr=0.017143
Precision:1.000000 Recall:0.978102 F1-measure:0.988930 Errorr=0.017143
Precision:1.000000 Recall:0.978102 F1-measure:0.988930 Errorr=0.017143
Precision:1.000000 Recall:0.978102 F1-measure:0.988930 Errorr=0.017143
Precision:1.000000 Recall:0.978102 F1-measure:0.988930 Errorr=0.017143
Precision:1.000000 Recall:0.978102 F1-measure:0.988930 Errorr=0.017143
Precision:1.000000 Recall:0.978102 F1-measure:0.988930 Errorr=0.017143
Precision:1.000000 Recall:0.978102 F1-measure:0.988930 Errorr=0.017143
====================lambda:0.001================================
====================perceptron: breast lambda:0.00001================================
Precision:1.000000 Recall:0.970803 F1-measure:0.985185 Errorr=0.022857
Precision:1.000000 Recall:0.970803 F1-measure:0.985185 Errorr=0.022857
Precision:1.000000 Recall:0.970803 F1-measure:0.985185 Errorr=0.022857
Precision:1.000000 Recall:0.970803 F1-measure:0.985185 Errorr=0.022857
Precision:1.000000 Recall:0.970803 F1-measure:0.985185 Errorr=0.022857
Precision:1.000000 Recall:0.970803 F1-measure:0.985185 Errorr=0.022857
Precision:1.000000 Recall:0.970803 F1-measure:0.985185 Errorr=0.022857
Precision:1.000000 Recall:0.970803 F1-measure:0.985185 Errorr=0.022857
Precision:1.000000 Recall:0.970803 F1-measure:0.985185 Errorr=0.022857
Precision:1.000000 Recall:0.970803 F1-measure:0.985185 Errorr=0.022857
Precision:1.000000 Recall:0.970803 F1-measure:0.985185 Errorr=0.022857
Precision:1.000000 Recall:0.970803 F1-measure:0.985185 Errorr=0.022857
Precision:1.000000 Recall:0.970803 F1-measure:0.985185 Errorr=0.022857
Precision:1.000000 Recall:0.970803 F1-measure:0.985185 Errorr=0.022857
Precision:1.000000 Recall:0.970803 F1-measure:0.985185 Errorr=0.022857
Precision:1.000000 Recall:0.970803 F1-measure:0.985185 Errorr=0.022857
Precision:1.000000 Recall:0.970803 F1-measure:0.985185 Errorr=0.022857
Precision:1.000000 Recall:0.970803 F1-measure:0.985185 Errorr=0.022857
Precision:1.000000 Recall:0.970803 F1-measure:0.985185 Errorr=0.022857
Precision:1.000000 Recall:0.970803 F1-measure:0.985185 Errorr=0.022857
====================================================

=======================adaline: breast=============================
Precision:1.000000 Recall:0.992701 F1-measure:0.996337 Errorr=0.005714
Precision:1.000000 Recall:0.992701 F1-measure:0.996337 Errorr=0.005714
Precision:1.000000 Recall:0.992701 F1-measure:0.996337 Errorr=0.005714
Precision:1.000000 Recall:0.992701 F1-measure:0.996337 Errorr=0.005714
Precision:1.000000 Recall:0.992701 F1-measure:0.996337 Errorr=0.005714
Precision:1.000000 Recall:0.992701 F1-measure:0.996337 Errorr=0.005714
Precision:1.000000 Recall:0.992701 F1-measure:0.996337 Errorr=0.005714
Precision:1.000000 Recall:0.992701 F1-measure:0.996337 Errorr=0.005714
Precision:1.000000 Recall:0.992701 F1-measure:0.996337 Errorr=0.005714
Precision:1.000000 Recall:0.992701 F1-measure:0.996337 Errorr=0.005714
Precision:1.000000 Recall:0.992701 F1-measure:0.996337 Errorr=0.005714
Precision:1.000000 Recall:0.992701 F1-measure:0.996337 Errorr=0.005714
Precision:1.000000 Recall:0.992701 F1-measure:0.996337 Errorr=0.005714
Precision:1.000000 Recall:0.992701 F1-measure:0.996337 Errorr=0.005714
Precision:1.000000 Recall:0.992701 F1-measure:0.996337 Errorr=0.005714
Precision:1.000000 Recall:0.992701 F1-measure:0.996337 Errorr=0.005714
Precision:1.000000 Recall:0.992701 F1-measure:0.996337 Errorr=0.005714
Precision:1.000000 Recall:0.992701 F1-measure:0.996337 Errorr=0.005714
Precision:1.000000 Recall:0.992701 F1-measure:0.996337 Errorr=0.005714
Precision:1.000000 Recall:0.992701 F1-measure:0.996337 Errorr=0.005714
====================lambda:0.01================================
====================perceptron: breast lambda:0.00001================================
Precision:1.000000 Recall:0.978102 F1-measure:0.988930 Errorr=0.017143
Precision:1.000000 Recall:0.978102 F1-measure:0.988930 Errorr=0.017143
Precision:1.000000 Recall:0.978102 F1-measure:0.988930 Errorr=0.017143
Precision:1.000000 Recall:0.978102 F1-measure:0.988930 Errorr=0.017143
Precision:1.000000 Recall:0.978102 F1-measure:0.988930 Errorr=0.017143
Precision:1.000000 Recall:0.978102 F1-measure:0.988930 Errorr=0.017143
Precision:1.000000 Recall:0.978102 F1-measure:0.988930 Errorr=0.017143
Precision:1.000000 Recall:0.978102 F1-measure:0.988930 Errorr=0.017143
